iso_3166_2,province_en
CN-SN,Shaanxi Province
CN-SH,Shanghai Municipality
CN-CQ,Chongqing Municipality
CN-ZJ,Zhejiang Province
CN-JX,Jiangxi Province
CN-YN,Yunnan Province
CN-SD,Shandong Province
CN-LN,Liaoning Province
CN-XZ,Tibet Autonomous Region
CN-GS,Gansu province
CN-HK,Hong Kong Special Administrative Region
CN-QH,Qinghai Province
CN-BJ,Beijing Municipality
CN-MO,Macao Special Administrative Region
CN-NM,Inner Mongolia Autonomous Region
CN-HB,Hubei Province
CN-AH,Anhui Province
CN-GZ,Guizhou Province
CN-NX,Ningxia Hui Autonomous Region
CN-JS,Jiangsu Province
CN-XJ,Xinjiang Uygur Autonomous Region
CN-SX,Shanxi Province
CN-HN,Hunan Province
CN-SC,Sichuan Province
CN-GX,Guangxi Zhuang Autonomous Region
CN-JL,Jilin Province
CN-TW,Taiwan Province
CN-HE,Hebei Province
CN-TJ,Tianjin Municipality
CN-GD,Guangdong Province
CN-FJ,Fujian Province
CN-HL,Heilongjiang Province
CN-HA,Henan Province
CN-HI,Hainan Province
