dialect_code,region_code
zh-mandarin,CN-HE
zh-mandarin,CN-HA
zh-mandarin,CN-HB
zh-mandarin,CN-HL
zh-mandarin,CN-LN
zh-mandarin,CN-SD
zh-mandarin,CN-SN
zh-mandarin,CN-GS
zh-mandarin,CN-NM
zh-mandarin,CN-QH
zh-mandarin,CN-NX
zh-mandarin,CN-SC
zh-mandarin,CN-CQ
zh-mandarin,CN-GZ
zh-mandarin,CN-YN
zh-mandarin,CN-XJ
zh-mandarin,CN-GS
zh-mandarin,CN-BJ
zh-mandarin,CN-TJ
zh-mandarin,CN-SX
zh-mandarin,CN-JL
zh-mandarin,CN-HI
zh-jin,CN-SX
zh-jin,CN-NM
zh-wu,CN-ZJ
zh-wu,CN-SH
zh-wu,CN-JS
zh-wu,CN-AH
zh-xiang,CN-HN
zh-xiang,CN-GZ
zh-gan,CN-JX
zh-gan,CN-HN
zh-gan,CN-FJ
zh-gan,CN-AH
zh-hakka,CN-GD
zh-hakka,CN-FJ
zh-hakka,CN-JX
zh-hakka,CN-GX
zh-hakka,CN-TW
zh-yue,CN-GD
zh-yue,CN-GX
zh-yue,CN-HK
zh-yue,CN-MO
zh-min,CN-FJ
zh-min,CN-GD
zh-min,CN-ZJ
zh-min,CN-TW
zh-huizhou,CN-AH
zh-huizhou,CN-JX
zh-pinghua,CN-GX
